start,code,year,flfp,time,timec
34.7,TUR,2022,39.7,372.005111245823,379.005111245823
34.7,TUR,2017,37.2,372.005111245823,374.005111245823
34.7,TUR,2020,34.7,372.005111245823,377.005111245823
34.7,TUR,2016,35.9,372.005111245823,373.005111245823
34.7,TUR,2021,37,372.005111245823,378.005111245823
35.1,BGD,2020,43,373.909873150585,378.909873150585
35.1,BGD,2015,35.1,373.909873150585,373.909873150585
35.1,BGD,2023,44.8,373.909873150585,381.909873150585
35.1,BGD,2024,41.5,373.909873150585,382.909873150585
35.1,BGD,2025,41.5,373.909873150585,383.909873150585
35.1,BGD,2022,46.9,373.909873150585,380.909873150585
35.1,BGD,2021,45.1,373.909873150585,379.909873150585
35.1,BGD,2018,40.4,373.909873150585,376.909873150585
35.1,BGD,2016,35.2,373.909873150585,374.909873150585
35.1,BGD,2019,41.8,373.909873150585,377.909873150585
35.1,BGD,2017,38.8,373.909873150585,375.909873150585
35.4,SEN,2019,38.4,375.338444579157,379.338444579157
35.4,SEN,2022,38.6,375.338444579157,382.338444579157
35.4,SEN,2020,38,375.338444579157,380.338444579157
35.4,SEN,2021,38.5,375.338444579157,381.338444579157
35.4,SEN,2023,38.7,375.338444579157,383.338444579157
35.4,SEN,2018,37.3,375.338444579157,378.338444579157
35.4,SEN,2015,35.4,375.338444579157,375.338444579157
35.4,SEN,2024,38.9,375.338444579157,384.338444579157
35.4,SEN,2025,39.2,375.338444579157,385.338444579157
35.4,SEN,2017,36.3,375.338444579157,377.338444579157
35.4,SEN,2016,40.1,375.338444579157,376.338444579157
36.1,COM,2020,46.6,378.67177791249,383.67177791249
36.1,COM,2023,48.9,378.67177791249,386.67177791249
36.1,COM,2025,49.5,378.67177791249,388.67177791249
36.1,COM,2024,49,378.67177791249,387.67177791249
36.1,COM,2021,48.8,378.67177791249,384.67177791249
36.1,COM,2017,40.5,378.67177791249,380.67177791249
36.1,COM,2022,48.8,378.67177791249,385.67177791249
36.1,COM,2019,45,378.67177791249,382.67177791249
36.1,COM,2018,42.7,378.67177791249,381.67177791249
36.1,COM,2016,38.3,378.67177791249,379.67177791249
36.1,COM,2015,36.1,378.67177791249,378.67177791249
