iso_a2,series,value
TJK,SL.TLF.ACTI.MA.ZS,58.54
TKM,SL.TLF.ACTI.MA.ZS,48.319
TLS,SL.TLF.ACTI.MA.ZS,72.59
TON,SL.TLF.ACTI.MA.ZS,60.824
TTO,SL.TLF.ACTI.MA.ZS,77.452
TUN,SL.TLF.ACTI.MA.ZS,72.208
TUR,SL.TLF.ACTI.MA.ZS,78.713
TUV,SL.TLF.ACTI.MA.ZS,NA
TZA,SL.TLF.ACTI.MA.ZS,88.094
UGA,SL.TLF.ACTI.MA.ZS,85.554
UKR,SL.TLF.ACTI.MA.ZS,NA
URY,SL.TLF.ACTI.MA.ZS,83.062
USA,SL.TLF.ACTI.MA.ZS,78.225
UZB,SL.TLF.ACTI.MA.ZS,79.546
VCT,SL.TLF.ACTI.MA.ZS,84.926
VEN,SL.TLF.ACTI.MA.ZS,71.941
VGB,SL.TLF.ACTI.MA.ZS,NA
VIR,SL.TLF.ACTI.MA.ZS,68.17
VNM,SL.TLF.ACTI.MA.ZS,81.727
VUT,SL.TLF.ACTI.MA.ZS,64.661
WSM,SL.TLF.ACTI.MA.ZS,57.737
XKX,SL.TLF.ACTI.MA.ZS,NA
YEM,SL.TLF.ACTI.MA.ZS,62.466
ZAF,SL.TLF.ACTI.MA.ZS,65.947
ZMB,SL.TLF.ACTI.MA.ZS,67.864
ZWE,SL.TLF.ACTI.MA.ZS,75.034
