month,best_est,lat,lon
2022-02-01,2,19.7381,96.20742
2022-08-01,1,17.892067,96.755961
2023-01-01,1,22.147711,95.190864
2023-01-01,3,22.206323,94.992997
2023-04-01,93,22.315182,96.627966
2023-04-01,3,17.06174,97.30337
2023-04-01,9,19.29518,97.36824
2023-04-01,2,19.531482,97.046837
2022-02-01,2,21.369463,95.70817
2022-02-01,1,23.173189,94.145293
2022-02-01,20,21.881,94.083
2022-02-01,5,23.173189,94.145293
2022-08-01,4,22.149919,94.883721
2022-08-01,4,19.26302,97.06431
2022-08-01,1,19.26302,97.06431
2022-08-01,8,19.555138,97.611889
2022-08-01,6,19.531482,97.046837
2022-08-01,1,19.014265,97.261927
2022-08-01,4,19.26302,97.06431
2023-01-01,10,12.97777,98.63033
2023-01-01,2,21.778463,95.708192
2023-01-01,4,18.495737,95.550369
2023-01-01,1,18.327769,96.772247
2023-01-01,9,20.493075,95.388576
2023-04-01,1,21.674599,94.882795
2023-04-01,5,22.74569,95.4725
2023-04-01,8,22.0672,95.68121
2023-04-01,1,25.679728,96.481155
2023-07-01,1,18.345696,96.857289
2023-07-01,2,22.74569,95.4725
2023-07-01,1,18.860306,96.828987
2022-02-01,5,18.62299,95.39966
2022-02-01,1,22.149919,94.883721
2022-02-01,4,22.577867,95.806672
2022-02-01,4,21.894982,96.106002
2022-02-01,1,27.333056,97.4275
2022-02-01,2,27.333056,97.4275
2022-02-01,5,22.577867,95.806672
2022-08-01,6,20.536447,92.626222
2022-08-01,31,20.484947,92.755714
2023-04-01,3,21.791044,94.184035
2023-04-01,1,22.04915,95.669937
2021-01-01,1,20.875369,92.529996
2022-02-01,7,19.73971,97.079654
2022-02-01,3,19.75,96.1
2022-02-01,6,23.173189,94.145293
2022-02-01,1,21.446582,93.16365
2022-02-01,2,21.46233,94.62462
2022-02-01,3,16.36824,98.558498
2022-02-01,41,21.968699,94.665232
2022-02-01,4,21.968699,94.665232
2023-06-01,2,22.03853,95.826002
2023-06-01,3,22.75547,95.56122
2023-06-01,2,21.745268,94.124603
2023-07-01,1,16.956195,97.31287
2023-07-01,1,22.06901,95.18123
2021-08-01,2,25.679728,96.481155
2021-08-01,1,21.72539,94.6732
2021-07-01,39,18.064,97.445
2021-07-01,3,21.6021,94.00573
