year,value,iso3c
1999.3,0.968,SSF
2000.22,1.009,SSF
2001.13,1.039,SSF
2002.04,1.071,SSF
2002.95,1.107,SSF
2003.86,1.142,SSF
2004.77,1.167,SSF
2005.68,1.182,SSF
2006.59,1.197,SSF
2007.51,1.211,SSF
2008.42,1.218,SSF
2009.33,1.216,SSF
2010.24,1.201,SSF
2011.15,1.178,SSF
2012.06,1.15,SSF
2012.97,1.115,SSF
2013.89,1.072,SSF
2014.8,1.023,SSF
2015.71,0.967,SSF
2016.62,0.904,SSF
2017.53,0.835,SSF
2018.44,0.76,SSF
2019.35,0.677,SSF
2020.27,0.587,SSF
2021.18,0.489,SSF
2022.09,0.385,SSF
2023,0.275,SSF
