iso3c,date,gdp_growth
BEN,2022,3.58
BEN,2021,4.41
BEN,2020,1.12
BEN,2019,3.98
BEN,2018,3.74
BEN,2017,2.67
BEN,2016,0.36
BEN,2015,-1.18
BEN,2014,3.26
BEN,2013,4.08
BEN,2012,1.75
BEN,2011,-0.06
BEN,2010,-0.89
BEN,2009,-0.7
BEN,2008,1.78
BEN,2007,2.9
BEN,2006,0.75
BEN,2005,-1.51
BEN,2004,1.28
BEN,2003,0.34
BEN,2002,1.51
BEN,2001,2.16
BEN,2000,2.65
BEN,1999,2.13
BEN,1998,0.8
BEN,1997,2.66
BEN,1996,1.63
BEN,1995,3.83
BEN,1994,-1.72
BEN,1993,1.24
BEN,1992,-0.17
BEN,1991,1.06
BEN,1990,5.68
BEN,1989,-5.78
BEN,1988,0.31
BEN,1987,-4.42
BEN,1986,-0.83
BEN,1985,4.4
BEN,1984,4.82
BEN,1983,-7.08
BEN,1982,-0.67
BEN,1981,6.88
BEN,1980,3.88
BEN,1979,3.74
BEN,1978,-1.33
BEN,1977,2.35
BEN,1976,-1.59
BEN,1975,-7.18
BEN,1974,0.91
BEN,1973,1.31
BEN,1972,4.01
BEN,1971,-3.69
BEN,1970,-0.13
BEN,1969,0.68
BEN,1968,1.67
BEN,1967,-0.99
BEN,1966,1.5
BEN,1965,3.23
BEN,1964,4.64
BEN,1963,2.83
BEN,1962,-5.11
BEN,1961,1.45
BMU,2024,6.07
BMU,2023,5
BMU,2022,6.31
BMU,2021,4.18
BMU,2020,-7.23
BMU,2019,-0.12
BMU,2018,-0.83
BMU,2017,3.4
BMU,2016,-0.63
BMU,2015,0.88
BMU,2014,-3.63
BMU,2013,-0.17
BMU,2012,-5.18
BMU,2011,-3.75
BMU,2010,-2.75
BMU,2009,-6.02
BMU,2008,-2.32
BMU,2007,3.06
BMU,2006,5.34
BMU,2005,1.42
BMU,2004,2.04
BMU,2003,3.01
BMU,2002,-1.91
BMU,2001,6.67
BMU,2000,8.56
BMU,1999,2.56
BMU,1998,3.11
BMU,1997,3.97
BMU,1996,2.11
BMU,1995,3.82
BMU,1994,-0.04
BMU,1993,2.29
BMU,1992,-0.78
BMU,1991,-4.24
BMU,1990,-0.73
BMU,1989,-0.31
BMU,1988,3.26
BMU,1987,3.06
BMU,1986,6.01
BMU,1985,-2.67
BMU,1984,-0.23
BMU,1983,1.28
BMU,1982,-5.96
BMU,1981,1.77
BMU,1980,7.63
BMU,1979,1.98
BMU,1978,1.25
BMU,1977,5.68
BMU,1976,8.77
BMU,1975,3.63
BMU,1974,0.67
BMU,1973,1.21
BMU,1972,1.43
BMU,1971,2.49
BMU,1970,4.64
BMU,1969,1.62
BMU,1968,0.3
BMU,1967,11.03
BMU,1966,11.84
BMU,1965,2.44
BMU,1964,8.55
BMU,1963,-1.38
BMU,1962,1.83
BMU,1961,2.46
BTN,2023,3.9
BTN,2022,4.48
BTN,2021,3.69
BTN,2020,-10.82
BTN,2019,5.05
BTN,2018,2.76
BTN,2017,1.21
BTN,2016,7.42
BTN,2015,5.58
BTN,2014,4.75
BTN,2013,0.61
BTN,2012,4.01
BTN,2011,7.3
BTN,2010,10.71
BTN,2009,6.48
BTN,2008,3.36
BTN,2007,14.76
BTN,2006,4.23
BTN,2005,5.11
BTN,2004,3.08
BTN,2003,5.55
BTN,2002,8.04
BTN,2001,4.88
BTN,2000,0.88
BTN,1999,5.55
BTN,1998,3.92
BTN,1997,3.5
BTN,1996,5.41
BTN,1995,8.35
BTN,1994,4.98
BTN,1993,6.23
BTN,1992,8.59
BTN,1991,-2.15
BTN,1990,7.44
BTN,1989,4.25
BTN,1988,1.68
BTN,1987,25.18
BTN,1986,8.01
BTN,1985,0.83
BTN,1984,1.31
BTN,1983,6.97
BTN,1982,0.16
BTN,1981,11.41
