y,time,series
20.2,5.3,availability
20.3,5.42,availability
20.4,5.55,availability
20.5,5.68,availability
20.6,5.8,availability
20.7,5.92,availability
20.8,6.05,availability
20.9,6.19,availability
21,6.34,availability
21.1,6.48,availability
21.2,6.62,availability
21.3,6.76,availability
21.4,6.91,availability
21.5,7.05,availability
21.6,7.19,availability
21.7,7.34,availability
21.8,7.48,availability
21.9,7.62,availability
22,7.76,availability
22.1,7.91,availability
22.2,8.05,availability
22.3,8.19,availability
22.4,8.34,availability
22.5,8.48,availability
22.6,8.62,availability
22.7,8.76,availability
22.8,8.91,availability
22.9,9.05,availability
23,9.19,availability
23.1,9.34,availability
23.2,9.48,availability
23.3,9.62,availability
23.4,9.76,availability
23.5,9.91,availability
23.6,10.05,availability
23.7,10.22,availability
23.8,10.38,availability
23.9,10.55,availability
24,10.72,availability
24.1,10.88,availability
24.2,11.05,availability
24.3,11.22,availability
24.4,11.38,availability
24.5,11.55,availability
24.6,11.72,availability
24.7,11.88,availability
24.8,12.05,availability
24.9,12.22,availability
25,12.38,availability
25.1,12.55,availability
25.2,12.72,availability
25.3,12.88,availability
25.4,13.05,availability
25.5,13.22,availability
25.6,13.38,availability
25.7,13.55,availability
25.8,13.72,availability
25.9,13.88,availability
26,14.05,availability
26.1,14.22,availability
26.2,14.38,availability
26.3,14.55,availability
26.4,14.72,availability
26.5,14.88,availability
26.6,15.05,availability
26.7,15.22,availability
26.8,15.38,availability
26.9,15.55,availability
27,15.72,availability
27.1,15.88,availability
27.2,16.05,availability
27.3,16.22,availability
27.4,16.38,availability
27.5,16.55,availability
27.6,16.72,availability
27.7,16.88,availability
27.8,17.05,availability
27.9,17.22,availability
28,17.38,availability
28.1,17.55,availability
28.2,17.72,availability
28.3,17.88,availability
28.4,18.05,availability
28.5,18.22,availability
28.6,18.38,availability
28.7,18.55,availability
28.8,18.72,availability
28.9,18.88,availability
29,19.05,availability
29.1,19.22,availability
29.2,19.38,availability
29.3,19.55,availability
29.4,19.72,availability
29.5,19.88,availability
29.6,20.05,availability
29.7,20.22,availability
